index,image_name,scale,center_w,center_h,ofd_1_x,ofd_1_y,ofd_2_x,ofd_2_y,bpd_1_x,bpd_1_y,bpd_2_x,bpd_2_y,SubjectID,px_to_mm_rate,Algo,Split
0,Patient00683_Plane3_1_of_2.png,3.4321406035536,480.5,331.5,731,318,153,230,479,27,404,522,683,0.180412371134021,,Train
1,Patient00685_Plane3_3_of_3.png,4.16823252197896,480.5,331.5,72,343,781,283,452,615,401,11,685,0.138888888888889,,Train
3,Patient00721_Plane3_1_of_3.png,2.20887415100939,320.0,196.0,132,195,497,175,322,331,306,38,721,0.1470588235294118,AlokaFit,Train
5,Patient00738_Plane3_3_of_4.png,2.8208559829617,320.0,196.0,65,193,553,169,318,367,300,-4,738,0.08928571428571429,AlokaFit,Train
6,Patient00750_Plane3_2_of_3.png,1.94298064481198,320.0,196.0,532,204,213,123,408,25,337,302,750,0.1515151515151515,AlokaFit,Train
7,Patient00752_Plane3_2_of_3.png,2.55425176291387,320.0,196.0,102,201,540,190,325,360,317,31,752,0.1219512195121951,AlokaFit,Train
8,Patient00753_Plane3_2_of_2.png,2.52318053233271,320.0,196.0,536,203,113,155,343,13,306,344,753,0.1428571428571428,AlokaFit,Train
10,Patient00768_Plane3_2_of_3.png,2.57727921236015,320.0,196.0,107,220,548,187,339,373,315,34,768,0.1136363636363636,AlokaFit,Train
11,Patient00769_Plane3_1_of_3.png,2.43165095373626,320.0,196.0,546,229,138,169,366,36,318,362,769,0.1428571428571428,AlokaFit,Train
14,Patient00811_Plane3_4_of_5.png,2.19232776790993,320.0,196.0,509,251,148,99,379,53,277,297,811,0.1041666666666667,AlokaFit,Train
15,Patient00812_Plane3_1_of_3.png,1.95703062490524,320.0,196.0,198,163,528,155,366,294,360,24,812,0.125,AlokaFit,Train
19,Patient00869_Plane3_2_of_3.png,2.34823373475141,320.0,196.0,523,196,119,191,324,26,319,361,869,0.09259259259259259,AlokaFit,Train
25,Patient00940_Plane3_2_of_2.png,2.87435663653943,479.5,330.5,134,312,627,292,388,491,373,113,940,0.184210526315789,,Train
27,Patient00966_Plane3_1_of_2.png,3.29003015659988,479.5,330.5,239,341,804,305,536,547,507,99,966,0.161290322580645,,Train
29,Patient00990_Plane3_1_of_3.png,3.8841313495498,479.5,330.5,136,399,768,269,502,576,402,92,990,0.181034482758621,,Train
31,Patient01035_Plane3_1_of_1.png,2.21573771152127,320.0,196.0,153,193,534,184,347,343,340,34,1035,0.0847457627118644,AlokaFit,Train
35,Patient01153_Plane3_1_of_1.png,3.14861253007417,479.5,330.5,625,333,102,243,402,64,325,512,1153,0.103550295857988,,Train
36,Patient01183_Plane3_3_of_4.png,3.04846850323058,479.5,330.5,710,307,200,289,463,87,448,510,1183,0.119453924914676,,Train
37,Patient01195_Plane3_1_of_3.png,3.2843315805819,479.5,330.5,278,361,834,335,566,569,546,128,1195,0.107212475633528,,Train
39,Patient01215_Plane3_3_of_4.png,2.6584177131766,320.0,196.0,562,204,120,158,359,4,322,359,1215,0.1428571428571428,AlokaFit,Train
41,Patient01258_Plane3_1_of_2.png,2.39781952275028,320.0,196.0,129,273,504,151,363,358,269,66,1258,0.1219512195121951,AlokaFit,Train
42,Patient01271_Plane3_13_of_15.png,2.94266016486932,480.5,331.5,278,301,780,296,531,500,527,98,1271,0.113636363636364,,Train
43,Patient01276_Plane3_1_of_2.png,3.12299030355398,479.5,330.5,768,424,260,312,563,148,466,587,1276,0.216216216216216,,Train
45,Patient01344_Plane3_2_of_4.png,3.22409176489176,479.5,330.5,740,275,189,268,467,56,462,487,1344,0.111607142857143,,Train
46,Patient01348_Plane3_1_of_1.png,1.98680964000747,320.0,196.0,167,175,502,174,335,309,334,40,1348,0.08928571428571429,AlokaFit,Train
47,Patient01361_Plane3_1_of_2.png,3.80099654832344,479.5,330.5,236,327,875,232,594,539,517,19,1361,0.09132420091324199,,Train
48,Patient01366_Plane3_1_of_4.png,2.18898992587556,320.0,196.0,532,177,160,155,355,19,338,313,1366,0.08196721311475409,AlokaFit,Train
52,Patient01481_Plane3_2_of_4.png,2.52009499053095,320.0,196.0,104,245,532,143,359,363,278,25,1481,0.1388888888888889,AlokaFit,Train
54,Patient01490_Plane3_2_of_2.png,3.32825705955725,479.5,330.5,359,587,554,30,676,386,236,232,1490,0.159128978224456,,Train
56,Patient01527_Plane3_1_of_3.png,3.35823063982938,479.5,330.5,172,339,740,273,483,541,428,71,1527,0.168141592920354,,Train
57,Patient01548_Plane3_2_of_2.png,1.38988105378241,320.0,196.0,467,167,233,139,361,60,339,246,1548,0.2083333333333333,AlokaFit,Train
60,Patient01633_Plane3_1_of_1.png,2.29545719321441,320.0,196.0,152,192,544,188,350,347,346,33,1633,0.1428571428571428,AlokaFit,Train
61,Patient01672_Plane3_2_of_2.png,2.59425520190318,320.0,196.0,116,188,568,184,344,360,341,12,1672,0.1388888888888889,AlokaFit,Train
62,Patient01711_Plane3_2_of_2.png,3.57125893855581,568.5,393.5,239,321,852,294,557,556,535,59,1711,0.143737166324435,,Train
63,Patient01714_Plane3_2_of_2.png,2.2136842879439,320.0,196.0,148,208,522,154,356,326,314,36,1714,0.0847457627118644,AlokaFit,Train
