image_name,scale,center_w,center_h,ofd_1_x,ofd_1_y,ofd_2_x,ofd_2_y,bpd_1_x,bpd_1_y,bpd_2_x,bpd_2_y,SubjectID,px_to_mm_rate,Algo,Split,index
Patient00683_Plane3_1_of_2.png,3.4321406035536004,480.5,331.5,731.0,318.0,153.0,230.0,479,27,404.0,522.0,683.0,0.18041237113402106,,Train,0
Patient00685_Plane3_3_of_3.png,4.16823252197896,480.5,331.5,72.0,343.0,781.0,283.0,452,615,401.0,11.0,685.0,0.138888888888889,,Train,1
Patient00721_Plane3_1_of_3.png,2.20887415100939,320.0,196.0,132.0,195.0,497.0,175.0,322,331,306.0,38.0,721.0,0.1470588235294118,AlokaFit,Train,2
Patient00738_Plane3_3_of_4.png,2.8208559829617,320.0,196.0,65.0,193.0,553.0,169.0,318,367,300.0,-4.0,738.0,0.08928571428571429,AlokaFit,Train,3
Patient00750_Plane3_2_of_3.png,1.9429806448119802,320.0,196.0,532.0,204.0,213.0,123.0,408,25,337.0,302.0,750.0,0.1515151515151515,AlokaFit,Train,4
Patient00752_Plane3_2_of_3.png,2.55425176291387,320.0,196.0,102.0,201.0,540.0,190.0,325,360,317.0,31.0,752.0,0.1219512195121951,AlokaFit,Train,5
Patient00753_Plane3_2_of_2.png,2.52318053233271,320.0,196.0,536.0,203.0,113.0,155.0,343,13,306.0,344.0,753.0,0.1428571428571428,AlokaFit,Train,6
Patient00768_Plane3_2_of_3.png,2.57727921236015,320.0,196.0,107.0,220.0,548.0,187.0,339,373,315.0,34.0,768.0,0.1136363636363636,AlokaFit,Train,7
Patient00769_Plane3_1_of_3.png,2.4316509537362596,320.0,196.0,546.0,229.0,138.0,169.0,366,36,318.0,362.0,769.0,0.1428571428571428,AlokaFit,Train,8
Patient00811_Plane3_4_of_5.png,2.19232776790993,320.0,196.0,509.0,251.0,148.0,99.0,379,53,277.0,297.0,811.0,0.1041666666666667,AlokaFit,Train,9
Patient00812_Plane3_1_of_3.png,1.95703062490524,320.0,196.0,198.0,163.0,528.0,155.0,366,294,360.0,24.0,812.0,0.125,AlokaFit,Train,10
Patient00869_Plane3_2_of_3.png,2.3482337347514104,320.0,196.0,523.0,196.0,119.0,191.0,324,26,319.0,361.0,869.0,0.0925925925925926,AlokaFit,Train,11
Patient00940_Plane3_2_of_2.png,2.87435663653943,479.5,330.5,134.0,312.0,627.0,292.0,388,491,373.0,113.0,940.0,0.18421052631578896,,Train,12
Patient00966_Plane3_1_of_2.png,3.29003015659988,479.5,330.5,239.0,341.0,804.0,305.0,536,547,507.0,99.0,966.0,0.161290322580645,,Train,13
Patient00990_Plane3_1_of_3.png,3.8841313495497998,479.5,330.5,136.0,399.0,768.0,269.0,502,576,402.0,92.0,990.0,0.18103448275862105,,Train,14
