index,image_name,scale,center_w,center_h,ofd_1_x,ofd_1_y,ofd_2_x,ofd_2_y,bpd_1_x,bpd_1_y,bpd_2_x,bpd_2_y,SubjectID,px_to_mm_rate,Algo,Split
18,002_HC.jpeg,2.2058823529411766,480.0,360.0,695,422,222,343,481,205,423.0,569.0,,0.179856115107914,,Train
20,002_3HC.jpeg,2.2058823529411766,480.0,360.0,716,283,236,456,424,188,537.0,568.0,,0.197160883280757,,Train
21,002_4HC.jpeg,2.2058823529411766,480.0,360.0,704,286,224,435,415,177,529.0,556.0,,0.197160883280757,,Train
22,002_5HC.jpeg,2.2058823529411766,480.0,360.0,710,238,248,363,440,122,541.0,507.0,,0.199667221297837,,Train
23,002_6HC.jpeg,2.2058823529411766,480.0,360.0,731,244,227,360,455,121,517.0,498.0,,0.199692780337942,,Train
24,002_7HC.jpeg,2.2058823529411766,480.0,360.0,735,221,248,378,449,124,539.0,494.0,,0.199692780337942,,Train
25,002_8HC.jpeg,2.2058823529411766,480.0,360.0,810,331,212,468,467,191,555.0,633.0,,0.168738898756661,,Train
8,002_9HC.jpeg,2.2058823529411766,480.0,360.0,688,321,269,478,438,224,539.0,585.0,,0.179856115107914,,Train
9,002_10HC.jpeg,2.2058823529411766,480.0,360.0,229,406,719,410,489,588,494.0,218.0,,0.179856115107914,,Train
0,020_HC.jpeg,2.1920955882352944,477.0,329.0,720,346,194,276,479,120,429.0,506.0,,0.119284294234592,,Train
1,020_2HC.jpeg,2.1920955882352944,477.0,329.0,769,323,151,308,482,79,490.0,555.0,,0.183333333333333,,Train
2,020_3HC.jpeg,2.1920955882352944,477.0,329.0,756,326,190,367,472,119,499.0,570.0,,0.193929173693086,,Train
3,022_HC.jpeg,2.1920955882352944,477.0,329.0,723,387,206,286,496,145,437.0,561.0,,0.20952380952381,,Train
4,022_2HC.jpeg,2.1920955882352944,477.0,329.0,730,451,231,254,548,160,407.0,560.0,,0.20952380952381,,Train
5,023_HC.jpeg,2.1920955882352944,477.0,329.0,186,182,829,387,438,530,569.0,20.0,,0.088339222614841,,Train
7,023_2HC.jpeg,2.1920955882352944,477.0,329.0,189,291,868,290,490,563,502.0,55.0,,0.0918196994991653,,Train
6,023_3HC.jpeg,2.1920955882352944,477.0,329.0,186,287,766,276,471,501,469.0,79.0,,0.107692307692308,,Train
59,024_HC.jpeg,2.610294117647059,568.0,391.5,317,432,875,473,564,666,603.0,236.0,,0.103305785123967,,Train
26,027_HC.jpeg,2.1920955882352944,477.0,329.0,156,286,625,288,380,486,368.0,131.0,,0.13126491646778,,Train
60,028_HC.jpeg,2.610294117647059,568.0,394.0,875,386,293,380,591,161,566.0,624.0,,0.205198358413133,,Train
10,029_HC.jpeg,2.610294117647059,568.0,391.5,1026,364,222,293,651,29,626.0,646.0,,0.0754716981132075,,Train
61,029_2HC.jpeg,2.610294117647059,568.0,392.5,847,312,332,409,566,152,637.0,567.0,,0.116071428571429,,Train
62,029_3HC.jpeg,2.610294117647059,568.0,392.5,381,178,756,499,436,507,685.0,177.0,,0.113636363636364,,Train
63,029_4HC.jpeg,2.1920955882352944,477.0,329.0,765,268,216,415,412,137,546.0,590.0,,0.186125211505922,,Train
64,029_5HC.jpeg,2.1920955882352944,477.0,329.0,711,267,110,307,367,65,420.0,535.0,,0.175983436853002,,Train
27,029_6HC.jpeg,2.610294117647059,568.0,426.0,769,393,83,407,431,133,440.0,669.0,,0.0874831763122476,,Train
11,030_HC.jpeg,2.1920955882352944,477.0,329.0,759,223,121,337,406,43,513.0,560.0,,0.099009900990099,,Train
65,030_2HC.jpeg,2.1920955882352944,477.0,329.0,747,263,163,289,465,55,459.0,531.0,,0.196581196581197,,Train
66,030_3HC.jpeg,2.1920955882352944,477.0,329.0,697,175,279,323,438,78,546.0,427.0,,0.261437908496732,,Train
67,030_4HC.jpeg,2.1920955882352944,477.0,329.0,669,237,269,246,478,93,486.0,407.0,,0.304259634888438,,Train
152,031_HC.jpg,1.9186580882352944,417.5,297.5,628,251,78,273,377,62,374.0,458.0,,,,Train
156,032_2HC.jpg,2.545955882352941,554.0,405.0,154,381,709,379,405,593,392.0,162.0,,,,Train
157,032_3HC.png,2.5528492647058822,555.5,397.0,203,489,812,438,479,708,467.0,225.0,,,,Train
158,034_HC.jpg,2.5091911764705883,546.0,401.5,189,386,805,372,469,615,459.0,159.0,,,,Train
160,034_3HC.png,2.5091911764705883,546.0,396.0,715,320,184,404,424,148,489.0,553.0,,,,Train
143,035_HC.jpg,2.4701286764705883,537.5,395.5,169,330,836,376,496,600,533.0,92.0,,,,Train
145,050_2HC.jpg,5.436580882352941,1183.0,827.0,421,608,1544,734,875,1075,987.0,275.0,,,,Train
149,052_3HC.png,5.073529411764706,1104.0,754.0,1787,410,729,625,1193,111,1343.0,909.0,,,,Train
151,053_2HC.png,5.064338235294118,1102.0,757.0,281,708,1732,599,980,1244,931.0,171.0,,,,Train
137,054_HC.jpg,5.078125,1105.0,741.0,456,399,1626,615,985,979,1088.0,76.0,,,,Train
139,058_HC.jpg,3.000919117647059,653.0,445.0,1060,492,361,403,743,169,686.0,763.0,,,,Train
141,059_2HC.png,3.000919117647059,653.0,443.5,277,445,1031,575,609,822,680.0,237.0,,,,Train
69,101_2HC.jpeg,2.6309742647058822,572.5,433.5,393,483,764,404,613,585,548.0,287.0,,0.155228758169935,,Train
70,101_3HC.jpeg,2.7045036764705883,588.5,390.5,415,488,780,379,618,581,558.0,278.0,,0.155228758169935,,Train
68,101_HC.jpeg,3.5202205882352944,766.0,403.5,376,352,858,321,620,543,603.0,156.0,,,,Train
71,102_HC.jpeg,2.6608455882352944,579.0,387.5,683,373,180,258,465,130,373.0,488.0,,0.122950819672131,,Train
72,102_2HC.jpeg,2.6608455882352944,579.0,391.0,682,374,182,244,460,132,384.0,492.0,,0.122950819672131,,Train
