index,image_name,scale,center_w,center_h,ofd_1_x,ofd_1_y,ofd_2_x,ofd_2_y,bpd_1_x,bpd_1_y,bpd_2_x,bpd_2_y,SubjectID,px_to_mm_rate,Algo,Split
0,020_HC.jpeg,2.192095588,477.0,329.0,720,346,194,276,479,120,429,506,,0.119284294,,Train
1,020_2HC.jpeg,2.192095588,477.0,329.0,769,323,151,308,490,555,482,79,,0.183333333,,Train
2,020_3HC.jpeg,2.192095588,477.0,329.0,756,326,190,367,499,570,472,119,,0.193929174,,Train
3,022_HC.jpeg,2.192095588,477.0,329.0,723,387,206,286,496,145,437,561,,0.20952381,,Train
4,022_2HC.jpeg,2.192095588,477.0,329.0,730,451,231,254,548,160,407,560,,0.20952381,,Train
5,023_HC.jpeg,2.192095588,477.0,329.0,186,182,829,387,569,20,438,530,,0.088339223,,Train
6,023_3HC.jpeg,2.192095588,477.0,329.0,186,287,766,276,471,501,469,79,,0.107692308,,Train
7,023_2HC.jpeg,2.192095588,477.0,329.0,189,291,868,290,502,55,490,563,,0.091819699,,Train
8,002_9HC.jpeg,2.205882353,480.0,360.0,688,321,269,478,539,585,438,224,,0.179856115,,Train
9,002_10HC.jpeg,2.205882353,480.0,360.0,229,406,719,410,494,218,489,588,,0.179856115,,Train
10,029_HC.jpeg,2.610294118,568.0,391.5,1026,364,222,293,651,29,626,646,,0.075471698,,Train
11,030_HC.jpeg,2.192095588,477.0,329.0,759,223,121,337,513,560,406,43,,0.099009901,,Train
12,002_HC.jpeg,2.205882353,480.0,360.0,695,422,222,343,481,205,423,569,,0.179856115,,Train
13,002_3HC.jpeg,2.205882353,480.0,360.0,716,283,236,456,537,568,424,188,,0.197160883,,Train
14,002_4HC.jpeg,2.205882353,480.0,360.0,704,286,224,435,529,556,415,177,,0.197160883,,Train
15,002_5HC.jpeg,2.205882353,480.0,360.0,710,238,248,363,541,507,440,122,,0.199667221,,Train
16,002_6HC.jpeg,2.205882353,480.0,360.0,731,244,227,360,517,498,455,121,,0.19969278,,Train
17,002_7HC.jpeg,2.205882353,480.0,360.0,735,221,248,378,539,494,449,124,,0.19969278,,Train
18,002_8HC.jpeg,2.205882353,480.0,360.0,810,331,212,468,555,633,467,191,,0.168738899,,Train
19,027_HC.jpeg,2.192095588,477.0,329.0,156,286,625,288,380,486,368,131,,0.131264916,,Train
20,029_6HC.jpeg,2.610294118,568.0,426.0,769,393,83,407,440,669,431,133,,0.087483176,,Train
21,024_HC.jpeg,2.610294118,568.0,391.5,317,432,875,473,603,236,564,666,,0.103305785,,Train
22,028_HC.jpeg,2.610294118,568.0,394.0,875,386,293,380,591,161,566,624,,0.205198358,,Train
23,029_2HC.jpeg,2.610294118,568.0,392.5,847,312,332,409,637,567,566,152,,0.116071429,,Train
24,029_3HC.jpeg,2.610294118,568.0,392.5,381,178,756,499,685,177,436,507,,0.113636364,,Train
25,029_4HC.jpeg,2.192095588,477.0,329.0,765,268,216,415,546,590,412,137,,0.186125212,,Train
26,029_5HC.jpeg,2.192095588,477.0,329.0,711,267,110,307,420,535,367,65,,0.175983437,,Train
27,030_2HC.jpeg,2.192095588,477.0,329.0,747,263,163,289,465,55,459,531,,0.196581197,,Train
28,030_3HC.jpeg,2.192095588,477.0,329.0,697,175,279,323,546,427,438,78,,0.261437908,,Train
29,030_4HC.jpeg,2.192095588,477.0,329.0,669,237,269,246,486,407,478,93,,0.304259635,,Train
30,101_2HC.jpeg,2.630974265,572.5,433.5,393,483,764,404,613,585,548,287,,0.155228758,,Train
31,101_3HC.jpeg,2.704503676,588.5,390.5,415,488,780,379,618,581,558,278,,0.155228758,,Train
32,102_HC.jpeg,2.660845588,579.0,387.5,683,373,180,258,465,130,373,488,,0.12295082,,Train
33,102_2HC.jpeg,2.660845588,579.0,391.0,682,374,182,244,460,132,384,492,,0.12295082,,Train
34,103_HC.jpeg,2.711397059,590.0,400.0,701,296,305,309,513,145,508,464,,0.177053824,,Train
35,103_2HC.jpeg,2.711397059,590.0,392.0,705,295,305,306,502,149,496,466,,0.177053824,,Train
36,103_3HC.jpeg,2.711397059,590.0,383.5,698,297,298,301,494,144,485,467,,0.177053824,,Train
37,103_4HC.jpeg,2.711397059,590.0,390.5,700,293,298,317,503,149,494,466,,0.177053824,,Train
38,104_HC.jpeg,2.711397059,590.0,381.5,845,361,395,435,637,564,579,239,,0.133333333,,Train
39,104_2HC.jpeg,2.711397059,590.0,395.5,845,367,399,445,638,570,609,240,,0.133333333,,Train
40,105_HC.jpeg,2.702205882,588.0,398.5,933,337,436,333,712,135,688,531,,0.116129032,,Train
41,105_2HC.jpeg,2.702205882,588.0,396.0,928,340,437,316,714,141,690,530,,0.116129032,,Train
42,106_HC.jpeg,2.711397059,590.0,395.5,975,301,293,344,648,45,638,606,,0.094339623,,Train
43,106_2HC.jpeg,2.711397059,590.0,397.0,973,298,284,340,648,41,642,599,,0.094339623,,Train
44,107_HC.jpeg,2.711397059,590.0,392.5,181,349,955,344,537,658,533,32,,0.077319588,,Train
45,107_2HC.jpeg,2.711397059,590.0,394.5,176,346,954,340,569,660,540,38,,0.077319588,,Train
46,111_HC.jpeg,2.619485294,570.0,395.0,217,214,834,361,596,48,443,516,,0.094339623,,Train
47,111_2HC.jpeg,2.619485294,570.0,395.0,221,206,841,371,595,51,451,519,,0.094339623,,Train
48,111_3HC.jpeg,2.619485294,570.0,390.0,815,321,270,361,567,121,542,561,,0.106382979,,Train
49,111_4HC.jpeg,2.619485294,570.0,390.0,828,354,266,345,560,120,554,562,,0.106382979,,Train
50,112_HC.jpeg,2.619485294,570.0,395.5,309,270,931,266,617,64,593,518,,0.096153846,,Train
51,112_2HC.jpeg,2.619485294,570.0,394.0,314,270,926,264,621,64,595,516,,0.096153846,,Train
52,112_3HC.jpeg,2.619485294,570.0,394.0,381,353,906,402,633,185,621,573,,0.11627907,,Train
53,113_HC.jpeg,2.578125,561.0,393.0,277,437,863,260,654,589,483,133,,0.098039216,,Train
54,114_HC.jpeg,2.614889706,569.0,396.5,260,312,662,296,454,455,438,150,,0.164835165,,Train
55,114_2HC.jpeg,2.614889706,569.0,397.5,255,302,662,298,458,151,453,457,,0.164835165,,Train
56,114_3HC.jpeg,2.614889706,569.0,397.5,255,302,662,301,458,151,447,455,,0.164835165,,Train
57,114_4HC.jpeg,2.614889706,569.0,397.5,745,239,240,294,547,453,502,76,,0.12605042,,Train
58,114_5HC.jpeg,2.614889706,569.0,402.0,707,277,400,355,593,433,532,196,,0.208333333,,Train
59,114_6HC.jpeg,2.614889706,569.0,417.0,708,273,402,368,589,434,532,200,,0.208333333,,Train
60,114_7HC.jpeg,2.614889706,569.0,413.5,756,300,235,292,518,102,514,490,,0.126182965,,Train
61,114_8HC.jpeg,2.614889706,569.0,407.0,826,255,314,324,605,486,586,95,,0.126182965,,Train
62,114_16HC.jpeg,2.614889706,569.0,406.0,726,290,240,309,512,102,504,476,,0.12605042,,Train
63,114_17HC.jpeg,2.614889706,569.0,395.5,740,305,243,294,524,97,503,489,,0.126182965,,Train
64,114_18HC.jpeg,2.614889706,569.0,407.0,784,291,264,303,560,114,543,497,,0.126182965,,Train
65,114_19HC.jpeg,2.614889706,569.0,405.0,792,303,276,303,567,113,565,492,,0.126353791,,Train
66,114_20HC.jpeg,2.614889706,569.0,397.5,854,256,343,344,653,488,605,110,,0.123966942,,Train
67,114_21HC.jpeg,2.614889706,569.0,393.5,831,255,336,344,637,483,578,107,,0.125944584,,Train
68,114_9HC.jpeg,2.614889706,569.0,403.0,761,231,273,308,564,449,529,77,,0.12605042,,Train
69,114_10HC.jpeg,2.614889706,569.0,399.5,761,233,257,295,555,449,523,74,,0.126182965,,Train
70,114_11HC.jpeg,2.614889706,569.0,400.5,756,230,252,291,549,448,522,73,,0.126182965,,Train
71,114_12HC.jpeg,2.614889706,569.0,401.0,741,241,245,291,538,453,507,74,,0.12605042,,Train
72,114_13HC.jpeg,2.614889706,569.0,395.5,748,246,242,292,529,450,498,77,,0.126182965,,Train
73,114_14HC.jpeg,2.614889706,569.0,396.5,743,243,240,290,532,450,497,77,,0.126182965,,Train
74,114_15HC.jpeg,2.614889706,569.0,402.0,700,278,403,364,600,434,528,198,,0.208333333,,Train
75,114_22HC.jpeg,2.614889706,569.0,386.5,748,240,235,290,532,454,507,76,,0.12605042,,Train
76,114_23HC.jpeg,2.614889706,569.0,402.0,804,240,308,299,575,453,536,80,,0.126353791,,Train
77,121_HC.jpeg,2.614889706,569.0,405.5,707,345,345,508,580,580,475,268,,0.169491525,,Train
78,121_2HC.jpeg,2.614889706,569.0,401.5,968,398,283,391,652,709,636,89,,0.091240876,,Train
79,121_3HC.jpeg,2.614889706,569.0,390.0,983,364,279,403,642,710,597,84,,0.091240876,,Train
80,121_4HC.jpeg,2.614889706,569.0,396.0,976,403,290,412,679,695,658,86,,0.091240876,,Train
81,201_HC.jpeg,2.679227941,583.0,396.5,194,305,822,296,515,556,510,65,,0.102564103,,Train
82,201_2HC.jpeg,2.704503676,588.5,397.5,186,307,826,300,515,565,508,68,,0.102564103,,Train
83,202_HC.jpeg,2.683823529,584.0,380.0,384,403,829,416,595,238,579,589,,0.144,,Train
84,202_2HC.jpeg,2.642463235,575.0,398.0,312,413,902,434,603,204,580,668,,0.109970674,,Train
85,204_HC.jpeg,2.660845588,579.0,395.0,146,373,915,347,494,655,494,73,,0.082304527,,Train
86,204_2HC.jpeg,2.693014706,586.0,398.0,156,378,924,349,516,686,510,89,,0.082304527,,Train
87,206_HC.jpeg,2.679227941,583.0,371.5,328,412,821,334,565,578,549,181,,0.11732852,,Train
88,206_2HC.jpeg,2.679227941,583.0,382.5,320,375,822,333,560,571,551,165,,0.11732852,,Train
89,208_HC.jpeg,2.649356618,576.5,394.0,931,346,207,397,616,666,539,102,,0.085877863,,Train
90,208_2HC.jpeg,2.674632353,582.0,398.5,946,348,219,407,626,673,556,102,,0.085910653,,Train
91,006_3HC.jpeg,2.205882353,480.0,360.0,166,386,799,369,471,639,470,121,,0.121527778,,Test
92,006_4HC.jpeg,2.205882353,480.0,360.0,184,339,804,319,484,107,466,569,,0.13050571,,Test
93,007_11HC.jpeg,2.205882353,480.0,360.0,869,388,138,387,529,671,503,117,,0.12195122,,Test
94,007_12HC.jpeg,2.205882353,480.0,360.0,832,377,107,399,478,677,470,127,,0.12195122,,Test
